28/03/2025,,29/03/2025,,30/03/2025,,12/04/2025,,13/04/2025,,14/04/2025,
7416659,7,10351627,7,8762075,8,11802644,7,5055654,7,5329921,6
4384415,7,11149157,7,6771928,8,4017577,7,4162263,6,11896493,6
11767290,7,7531469,7,7594545,8,2920213,7,2046469,6,2138073,6
8791703,7,10313516,7,9977115,7,7456005,6,6031643,6,9735777,6
11937526,7,7846052,7,8736446,7,2488930,6,7415391,6,9783208,6
6721936,7,2672810,7,5532469,7,5593666,6,9264397,6,2326851,6
11545296,7,2635247,6,2892359,7,2013509,6,7045422,6,11359440,6
5938656,7,9988734,6,10141986,7,11263952,6,4559392,6,10987683,6
4407544,7,8736446,6,9467532,7,4412749,6,8011065,6,2607202,6
2258780,7,2405304,6,3100954,7,2385776,6,4890560,6,8106757,6
3822274,7,2399183,6,10573102,7,10970734,6,10130907,6,11564716,5
3648399,6,4050975,6,2872180,7,10720484,6,10752717,6,5850624,5
3120751,6,2040619,6,6860940,7,11473116,6,2764427,6,8662746,5
6336576,6,5443029,6,10313516,7,6619163,6,2388607,6,7063262,5
2818389,6,5813384,6,10633264,7,3444208,6,9572832,6,6789578,5
9480778,6,9572832,6,4396600,7,8736446,6,2706267,6,11670714,5
6673236,6,7717344,6,7271115,7,10774995,6,9527317,6,9280437,5
10313516,6,7195164,6,4387757,7,6091254,6,3010170,6,4611681,5
9220898,6,8122172,6,7065676,7,10267134,6,5906493,6,7582401,5
10531522,6,7304955,6,3384045,7,5575821,6,11871028,6,6036559,5
8011065,6,6036559,6,4794032,7,9849049,6,8033865,6,6508785,5
6183436,6,2764427,6,4293630,6,3029002,6,11789463,6,8659739,5
3182568,6,8069276,6,2471415,6,10654746,6,3302736,6,5520116,5
9257271,6,7561514,6,8978243,6,5005077,6,4611681,6,6061587,5
11914322,6,5089002,6,8069132,6,7633603,5,8736446,6,8968358,5
2515156,6,3156808,6,2490595,6,9511300,5,2538863,6,3827026,5
5537555,6,4227601,6,8334693,6,10894732,5,7582401,6,7612900,5
7165209,6,6823805,5,6735558,6,7612900,5,11810585,6,7074861,5
3887572,6,8870182,5,6768750,6,5662295,5,3426245,6,11508450,5
2384149,6,9948049,5,7147229,6,4586429,5,2937279,6,9977115,5
11737236,6,10714390,5,7958716,6,7013210,5,2044151,6,7081566,5
4760853,6,5593666,5,2061857,6,6141586,5,9648459,6,2920213,5
8466814,6,9227613,5,6616265,6,2111851,5,7163962,6,3426245,5
3215520,6,11000220,5,3672435,6,2715913,5,5404245,6,8981951,5
3411950,6,8906261,5,6043341,6,4760853,5,2334272,5,9892609,5
10806249,6,5773639,5,10327573,6,11620308,5,6131242,5,2598096,5
10244576,5,7708280,5,3348153,6,3779136,5,6823805,5,5753000,5
5813384,5,7045422,5,7091470,6,8121738,5,4394610,5,2258780,5
5189660,5,11052732,5,11101298,6,9783208,5,5441355,5,11795877,5
7117136,5,10290995,5,9511300,6,3021019,5,8322005,5,8376920,5
3673207,5,3420948,5,11781566,6,8659017,5,10005304,5,3308092,5
5577816,5,4779774,5,4525599,6,9171816,5,10267134,5,8173933,5
10046041,5,5019367,5,8238332,6,11174699,5,10081756,5,5055654,5
2892359,5,3710798,5,5485024,6,4844266,5,9284594,5,11127543,5
6296566,5,7464134,5,6119057,6,5818976,5,8978243,5,5593666,5
4237658,5,8306558,5,8531983,6,5992755,5,9977115,5,7934388,5
3616678,5,3356421,5,7924531,6,4559392,5,10970734,5,4215415,5
4776579,5,2444810,5,7850367,6,7952938,5,9227613,5,10313516,5
8729057,5,6673236,5,2138073,6,10279081,5,8843486,5,7221219,5
11913910,5,3007918,5,9740126,6,7231227,5,3733440,5,10469662,5
7708280,5,8270902,5,2948515,5,2405304,5,2920009,5,9203947,5
7231227,5,10544303,5,10531522,5,10561355,5,11469803,5,10590910,5
10304752,5,7946301,5,8177571,5,5386533,5,3672435,5,8614942,5
6824019,5,11286300,5,6536186,5,6678821,5,6032907,5,2001248,5
4235536,5,9230153,5,7063262,5,5189794,5,2872180,5,2761668,5
3445972,5,10683249,5,2059564,5,5015780,5,4215415,5,6070048,5
4947390,5,3350717,5,2631221,5,4538040,5,7029632,5,11060789,5
7020567,5,2921477,5,7045422,5,10743425,5,5773639,5,9112093,5
7875322,5,3395081,5,3476153,5,5963921,5,5407786,5,10265267,5
10168558,5,6432092,5,10425800,5,7543360,5,10469182,5,5786217,5
9674076,5,8720714,5,9742427,5,2061857,5,9686654,5,11802644,5
11239281,5,4916751,5,10783059,5,6992250,4,6784591,5,3109824,5
10231082,5,9097639,5,4283431,5,11789463,4,10712400,5,10682814,4
6387773,5,9892609,5,6823805,5,5727503,4,3003765,5,5137569,4
9337814,5,4095662,5,8916696,5,2388607,4,10860875,5,10228477,4
8937861,5,3561866,5,9075430,5,3534200,4,9279817,5,11938676,4
6154357,5,7950486,5,4780327,5,3018150,4,11435543,5,4015690,4
10720484,5,6427929,5,6766144,5,11289192,4,11846363,5,2214563,4
9275599,5,3527219,5,4235536,5,8344041,4,6930826,5,4430496,4
2306789,5,7491462,5,7907307,5,8870505,4,9495839,5,8011065,4
8668883,5,11199306,5,5577816,5,4212252,4,3317970,5,2186881,4
3567290,5,8812524,4,2509990,5,8864884,4,3836463,5,7677802,4
8774885,5,11952271,4,6131242,5,11795877,4,3029002,5,11461037,4
2219388,5,3524313,4,7416075,5,8937861,4,10573102,5,5975270,4
9203947,5,3763399,4,4890560,5,2297655,4,5746322,4,3650607,4
2399183,5,9480778,4,3679262,5,7050305,4,11677287,4,11416127,4
8325332,5,8321791,4,5537555,5,4585712,4,9597452,4,7769880,4
3383867,5,4311614,4,11494264,5,9282942,4,11392117,4,6130144,4
10671906,5,5369933,4,3078000,5,7835503,4,7390090,4,4776402,4
3827026,5,4413920,4,3850686,5,5168477,4,2072340,4,3354463,4
8978243,5,6719050,4,7524840,5,4870687,4,9483695,4,11677287,4
9282954,5,9239546,4,11324573,5,6779002,4,8719680,4,4564465,4
5589596,5,11865251,4,8786119,5,2395954,4,5625526,4,6696999,4
2994674,5,10328541,4,5818976,5,6668713,4,7689769,4,2111851,4
2990287,5,8376920,4,7165209,5,7776442,4,10714390,4,11654410,4
8372447,5,5044550,4,5589596,5,3129244,4,2920213,4,4384093,4
4703033,5,2395954,4,3007918,5,11846363,4,9783570,4,7415391,4
4458703,5,6119057,4,4348440,5,5642107,4,7091470,4,3035797,4
2948182,5,5577530,4,7464245,5,5835644,4,5786005,4,11419514,4
6619163,5,3293825,4,11953468,5,9623792,4,5203272,4,7776442,4
8136165,5,4304152,4,8453512,5,6144819,4,2177937,4,3041996,4
8318734,5,4900524,4,8972214,5,3668299,4,7522920,4,6887048,4
6015465,5,5577816,4,10671906,5,9977115,4,5467396,4,4964373,4
10462904,4,7958716,4,7065546,5,5661826,4,2362505,4,6092436,4
9606605,4,6829872,4,8559127,5,4872838,4,9933512,4,9572832,4
6668752,4,627358,4,10324497,5,7902752,4,7904228,4,5877767,4
7952938,4,7390090,4,8437091,5,2490595,4,6065925,4,7594422,4
9977115,4,9586845,4,9241660,5,5053425,4,10273441,4,11392117,4
7013210,4,2526342,4,10588452,5,5917904,4,7757562,4,3553228,4
7934388,4,11354637,4,2334272,5,4171693,4,3974791,4,10358004,4
7744496,4,2431022,4,4774158,5,8380337,4,10304752,4,3365887,4
2186881,4,8274858,4,2100782,5,10829207,4,3322753,4,11516003,4
9398724,4,8636749,4,10076784,5,10145839,4,5642107,4,7474437,4
8636749,4,4261422,4,11950330,5,10132060,4,2177493,4,7905597,4
6911915,4,4349857,4,9142612,4,9698120,4,2789159,4,11126889,4
8210133,4,7539945,4,4101481,4,5906493,4,3348153,4,7135655,4
4064265,4,7719963,4,6208449,4,10228477,4,9255915,4,9255915,4
4776402,4,2569252,4,9495839,4,5772949,4,8716368,4,2653411,4
11052732,4,11909508,4,7225747,4,10069903,4,9623792,4,5203272,4
3561866,4,11577442,4,3947417,4,3131677,4,2903705,4,10701034,4
9943800,4,6558370,4,4581440,4,4095662,4,10423747,4,6141586,4
10915031,4,6766144,4,10929716,4,6789578,4,2727508,4,5559191,4
2721562,4,2716764,4,2001248,4,2607202,4,5864497,4,6824019,4
9453923,4,9231477,4,5633541,4,11134897,4,7062755,4,3445972,4
4403864,4,2066564,4,9172705,4,3140980,4,3149852,4,3049986,4
4923785,4,7920101,4,9231544,4,4252599,4,9940516,4,8023170,4
6620067,4,2496700,4,3449401,4,8674385,4,8697198,4,2990287,4
7163962,4,5661826,4,10403212,4,6524664,4,11836847,4,10078523,4
11630255,4,9037782,4,2722614,4,4503217,4,10894732,4,8408237,4
5773322,4,10671906,4,8662746,4,2631221,4,5669312,4,9160295,4
9304303,4,11914322,4,9572832,4,3120751,4,11174699,4,6994125,4
3328166,4,6272758,4,6820391,4,8408237,4,3739982,4,5221850,4
10960804,4,10509795,4,10919138,4,6339400,4,6091254,4,6786274,4
8376288,4,3045152,4,3350717,4,4951557,4,8329185,4,6668752,4
5850624,4,2252451,4,6721936,4,4806596,4,4867294,4,7194470,4
7065676,4,6073381,4,6706876,4,2679792,4,5880002,4,5472603,4
10376571,4,10839340,4,8011065,4,11878787,4,3627604,4,6457638,4
10839340,4,388258,4,9204344,4,9710975,4,8777151,4,2872180,4
7065546,4,8978243,4,10358850,4,11910082,4,11994945,4,2550630,4
7474281,4,2903705,4,11138163,4,9648459,4,3779136,4,3480397,4
9142639,4,5719882,4,11034148,4,9608244,4,9911974,4,6763522,4
10782831,4,5570921,4,4158912,4,9203947,4,4088936,4,5762486,4
9536153,4,11099518,4,3953512,4,11372113,4,2537085,4,6198615,4
8138899,4,7730123,4,9406928,4,7574719,4,5333240,4,10231082,4
3324532,4,5329921,4,7722349,4,10957808,4,6144819,4,3441399,4
3059962,4,2067312,4,8310492,4,2399183,4,6203426,4,11695848,4
8959744,4,8764829,4,11189012,4,5131074,4,6887048,4,6197507,4
7365454,4,11172099,4,3037727,4,3476153,4,8212954,4,4155694,4
9514882,4,11486540,4,5215751,4,9123587,4,11193466,4,3518643,4
3148272,4,4872838,4,3561866,4,3091811,4,10228477,4,5067420,4
2556726,4,6125600,4,3189563,4,6175819,4,10126750,4,3631854,4
10551397,4,4062208,4,11263952,4,7446638,4,9330246,4,7075358,4
4850471,4,2455782,4,11302519,4,8104249,4,11486540,4,2411743,4
6776188,4,10712400,4,3782793,4,3359215,4,7892757,4,10465177,4
7949912,4,8302757,4,5961804,4,10729252,4,2624884,4,2188705,4
11290490,4,2717242,4,8659017,4,11157102,4,6619163,4,9035763,4
11283554,4,4215415,4,5379945,4,4758741,4,6699870,4,11241899,4
8968358,4,2811646,4,9892609,4,7546507,4,9613325,4,6871219,4
10823319,4,8183484,4,9408137,4,3676226,4,5884921,4,2719988,4
3463236,4,5402186,4,6558370,4,9901631,4,4501828,4,2607659,4
9090216,4,4947390,4,6736086,4,4774158,4,5103533,4,2783474,4
9021999,4,9041779,4,11324913,4,11762436,4,3885782,4,7466190,4
4591715,4,2537560,4,9284594,4,9912507,4,10839340,4,4163925,4
5997271,4,2297655,4,9948049,4,9929099,4,10671906,4,7967838,4
7344668,4,9833624,4,5884921,4,10376767,4,5631213,4,5750094,4
5329921,4,3719214,4,4682519,4,8432307,4,7666353,4,2758301,4
4454787,4,7533971,4,3826805,4,2869502,4,3891302,4,10853107,4
6029685,4,4699407,4,3556655,4,11108583,4,3772438,4,10200702,4
9395355,4,7924531,4,8808879,4,5782510,3,3040719,4,3800070,4
5669312,4,494115,4,7489397,4,10711627,3,3599998,4,3359215,4
9192673,4,6800233,4,2120547,4,4839575,3,8742788,4,5267246,4
6994125,4,4153770,4,4044694,4,10706457,3,6548176,3,2453017,4
11494748,4,9131686,4,10590675,4,4230596,3,7835503,3,9337814,3
5671000,4,10810589,4,4430496,4,8011065,3,3612993,3,6536492,3
2457161,4,9710975,4,3435534,4,2672011,3,8870182,3,11288599,3
7546507,4,6290521,4,10720484,4,5441355,3,11423043,3,2639909,3
10069903,4,7851798,4,6295728,4,5823142,3,11012751,3,7830274,3
8194525,4,5057044,4,6321056,4,7265816,3,10425800,3,2923396,3
2327641,4,4297624,4,8804112,4,8376920,3,11337438,3,9390872,3
6207094,4,5720084,4,9565472,4,9940794,3,10916070,3,10841462,3
2013509,4,8580458,4,11575400,4,7474437,3,10480279,3,3926415,3
10509795,4,9203947,4,2495400,4,6792510,3,7260646,3,4295492,3
7262297,4,8369228,4,9729786,4,8306558,3,4776402,3,2022902,3
9572832,3,3049986,4,10196410,4,4621844,3,11033487,3,10205418,3
4155921,3,3091811,4,2368946,4,3669697,3,3242472,3,6979973,3
2387337,3,11414365,4,8380337,4,4699407,3,8311699,3,10502178,3
10682814,3,10182326,4,3202573,4,5047236,3,6810451,3,7020567,3
7405989,3,3340071,4,2921477,4,3971135,3,2488930,3,3974791,3
5702438,3,11108583,4,2297655,4,3550732,3,10923150,3,2920009,3
5215751,3,3679262,3,6451458,4,3673207,3,3570553,3,6125600,3
3173164,3,8729057,3,4520211,3,10671906,3,2851246,3,5288385,3
3900417,3,5670197,3,2177493,3,11177832,3,2635969,3,10331793,3
8833537,3,2506217,3,8286512,3,4387162,3,3993201,3,4215314,3
2921477,3,10020674,3,3722443,3,6926408,3,9820565,3,2231979,3
11789463,3,11701679,3,7987803,3,2330507,3,3129244,3,9775546,3
8069276,3,3654808,3,3672484,3,9572832,3,7177426,3,5044550,3
9949611,3,10390257,3,3787124,3,9753479,3,8887000,3,5642107,3
4001795,3,7785551,3,6546634,3,8194525,3,2576578,3,9621495,3
4311614,3,8716368,3,11539242,3,6478879,3,6963949,3,8695806,3
2232810,3,9765661,3,3356421,3,4155134,3,2165606,3,5443029,3
7958716,3,3182568,3,4185507,3,4015690,3,9833624,3,8122172,3
3954996,3,8488021,3,9134338,3,5189442,3,6661352,3,9989267,3
4361741,3,10005304,3,7906307,3,10377065,3,8245513,3,8978243,3
6719050,3,6619500,3,8870182,3,2042043,3,6353959,3,3065377,3
8336063,3,11034552,3,8804739,3,11321148,3,6350157,3,8919103,3
9239546,3,5333240,3,6955609,3,10839193,3,10721886,3,10720484,3
8563240,3,4678824,3,2070219,3,3640141,3,7776792,3,11012751,3
9527214,3,10455413,3,11423043,3,3926415,3,3869006,3,11082061,3
7783498,3,9182085,3,9033182,3,3121017,3,5808472,3,7957000,3
2561161,3,2892359,3,9570112,3,5314377,3,11101937,3,3038346,3
11756581,3,10236448,3,7594422,3,8651516,3,4896295,3,3632030,3
7390090,3,9783570,3,5361236,3,11564716,3,5753000,3,7474281,3
6905079,3,7999101,3,10069903,3,8870182,3,3398534,3,5550668,3
5951573,3,3441278,3,5661826,3,11416127,3,4295492,3,516748,3
5055090,3,3733440,3,3722202,3,2716975,3,6349501,3,2382705,3
3664476,3,10515532,3,5353908,3,3399302,3,8121738,3,4358061,3
11193466,3,8444286,3,9442182,3,4629356,3,9444911,3,8775087,3
5823142,3,9033182,3,10131051,3,11833671,3,9742427,3,7119505,3
9140617,3,11082061,3,5720084,3,4362526,3,3787124,3,3054178,3
7512533,3,4776579,3,4860115,3,10303766,3,7063262,3,10020674,3
2923396,3,7864586,3,2547241,3,7477114,3,6326234,3,5064187,3
4283431,3,4584667,3,8272499,3,7727148,3,10439053,3,6537276,3
3667126,3,2059564,3,6994125,3,5758937,3,11833671,3,4872838,3
5791107,3,2389196,3,11707292,3,11050788,3,2588512,3,7971424,3
3441399,3,10033968,3,2942608,3,9071878,3,3534200,3,10108612,3
4155134,3,3254089,3,7186812,3,3279030,3,5728168,3,11263952,3
10417202,3,5353908,3,2243596,3,7550042,3,8781322,3,5097492,3
2598096,3,7405989,3,3974791,3,5087301,3,8750258,3,7547655,3
10298712,3,3118419,3,4796204,3,7028938,3,2299566,3,9176521,3
6392629,3,11337438,3,6786900,3,3975132,3,7474281,3,4359447,3
11438397,3,11677287,3,7917783,3,6336576,3,11263629,3,5403720,3
9747225,3,8932920,3,7283138,3,6208449,3,3169111,3,6881426,3
7907307,3,5782510,3,8303987,3,9227613,3,7727148,3,8121738,3
7769880,3,6299188,3,5502738,3,6203426,3,5245166,3,3993201,3
7416075,3,9398724,3,5877587,3,5198878,3,6248510,3,5778219,3
2644671,3,3317970,3,2538863,3,9694198,3,8386604,3,5746322,3
11269592,3,11506779,3,8892935,3,9347107,3,8586697,3,11401279,3
11101298,3,2144902,3,2920009,3,8784766,3,9819044,3,9170488,3
3926415,3,10905851,3,3636239,3,9282954,3,8306558,3,6926408,3
7389289,3,5808472,3,5771389,3,10206353,3,9856101,3,2044151,3
11968666,3,7492292,3,9955881,3,4407945,3,3476153,3,8659017,3
3021019,3,2895417,3,9653131,3,3247507,3,10878216,3,8916696,3
9601821,3,8059138,3,10200702,3,6699870,3,4362526,3,5938656,3
4876823,3,10424513,3,4394610,3,9852010,3,2868770,3,6417241,3
7612900,3,9121855,3,11824470,3,8882478,3,11220243,3,9623792,3
5686992,3,7166806,3,5443029,3,4441558,3,9140617,3,11214628,3
4551583,3,9494036,3,3763399,3,3632925,3,7022439,3,9087194,3
11638965,3,10973823,3,7902752,3,7561514,3,10245200,3,11321898,3
7608080,3,10720484,3,9929731,3,10081756,3,11668835,3,6219529,3
8334693,3,10069903,3,11743572,3,11236175,3,7542614,3,8325332,3
5771389,3,11473116,3,8676148,3,10180392,3,8352065,3,7752874,3
2237863,3,8549354,3,3868851,3,5012506,3,10200702,3,6763856,3
9033342,3,8916696,3,9349676,3,7390090,3,10516951,3,2993901,3
7234082,3,7666454,3,4535019,3,4964373,3,3640141,3,3182568,3
5661826,3,6757876,3,4702326,3,11762439,3,4551583,3,8082497,3
9456147,3,5758937,3,8554929,3,6261079,3,3367260,3,8955134,3
4306329,3,3978697,3,8668883,3,6581278,3,8471340,3,7185457,3
11379136,3,7336151,3,2569252,3,5144340,3,4791750,3,9557660,3
11286677,3,8774128,3,8680272,3,4143016,3,8217342,3,9264077,3
7556864,3,11193466,3,9752452,3,9356137,3,6948975,3,8897470,3
3805848,3,10782831,3,6710566,3,6087942,3,9974074,3,11901046,3
8716368,3,3553228,3,7136695,3,5046603,3,2656517,3,10390264,3
6166729,3,6755727,3,2923396,3,10701034,3,9116752,3,6963949,3
10260510,3,2388607,3,2385776,3,2598096,3,7336914,3,6830608,3
6435951,3,6983371,3,5733690,3,11486540,3,4297624,3,2490595,3
2826609,3,7093962,3,7292002,3,7063262,3,10512299,3,9674076,3
10761564,3,5925609,3,11289192,3,10328541,3,10141986,3,10416220,3
9224813,3,6304241,3,7546507,3,4552386,3,6696999,3,11320210,3
8593881,3,2335100,3,9661567,3,9367557,3,4430496,3,6459694,3
4320405,3,4735241,3,9076054,3,5616265,3,2861099,3,8184521,3
10606520,3,6262151,3,5731595,3,7753093,3,8376920,3,11846363,3
5476549,3,8280913,3,4861527,3,6887048,3,8059138,3,3091811,3
10709267,3,2547241,3,5402186,3,5097492,3,6954031,3,9265086,3
2108082,3,9449104,3,7347003,3,8180926,3,8659017,3,5189660,3
5346978,3,7612900,3,5373031,3,2457161,3,9071306,3,4498151,3
8366994,3,9287687,3,9255915,3,4885679,3,11942700,3,8271557,3
10000938,3,9801664,3,11577442,3,6766941,3,2836517,3,10802152,3
11566623,3,10358850,3,10390029,3,6535491,3,5726795,3,2052361,3
3036483,3,10143061,3,8614942,3,11461037,3,9597303,3,4622025,3
6376417,3,8080168,3,2299472,3,7818000,3,3305535,3,11047277,3
4608108,3,3627604,3,2066564,3,4684326,3,3381331,3,5247311,3
9185359,3,7103995,3,4556241,3,6230789,3,8023170,3,3772438,3
4661656,3,9204079,3,8194525,3,3524535,3,4972661,3,6889834,3
3340221,3,10894732,3,11555534,3,6262151,3,7677802,3,4164643,3
7516774,3,6861711,3,10118991,3,3892321,3,6262151,3,8328646,3
11986476,3,6806163,3,6315672,3,9500407,3,2252959,3,7753093,3
6950436,3,3507784,3,6031643,3,3599998,3,5597078,3,9765927,3
2960271,3,4552386,3,7735229,3,7920001,3,10186579,3,10242258,3
8764829,3,9337814,3,5168477,3,9460695,3,3087484,3,5760593,3
9170735,3,2028393,3,6425409,3,6872256,3,3034197,3,8370988,3
9217100,3,10411412,3,8581806,3,2274893,3,5961804,3,2087680,3
4379620,3,3337642,3,8322005,3,9674076,3,4014754,3,5615418,3
2247182,3,11047223,3,2498386,3,3104584,3,5731595,3,8608859,3
8067016,3,6926408,3,5299728,3,7512533,3,10575994,3,8932994,3
3426613,3,5835644,3,3783992,3,5203272,3,6835890,3,10679547,3
3972214,3,2404108,3,5808472,3,4197699,3,6739696,3,4696502,3
6819474,3,10246163,3,3693522,3,3722461,3,6261079,3,6872256,3
9795201,3,10979030,3,4977048,3,5170036,3,7524840,3,8896487,3
9552865,3,8864884,3,3057231,3,8585509,3,9314660,3,8791703,3
5338490,3,11239281,3,7430531,3,8198338,3,7934388,3,2297655,3
5332771,3,5938656,3,9674076,3,6290521,3,2830368,3,10171439,3
4394610,3,11999302,3,3702418,3,4949155,3,7776585,3,2830368,3
4783647,3,11270700,3,11804681,3,10056532,3,8370988,3,11167373,3
8736446,3,5326943,3,7514208,3,8978243,3,2816773,3,2101293,3
6211237,3,9425543,3,6377104,3,2067312,3,6721936,3,8426632,3
7193306,3,6955609,3,9356137,3,7582401,3,8916696,3,2340385,3
10513273,3,11493197,3,3851055,3,11609866,3,2529392,3,6500957,3
9425432,3,7379492,3,5782510,3,2108082,3,8384761,3,4581440,3
7913407,3,7670340,3,3234031,3,7194816,3,11739689,3,6008874,3
11450799,3,7557717,3,9507631,3,6358791,3,2132142,3,4690203,3
8311699,3,8582152,3,3854455,3,7708280,3,10279081,3,11677759,3
3892321,3,11381600,3,6352394,3,7258657,3,8101439,3,3636239,3
7677802,3,9282954,3,9740851,3,11624995,3,6826939,3,4449340,3
8386604,3,4169436,3,7081566,3,7539945,3,2455782,3,4225251,3
9573416,3,6718085,3,10405706,3,2340367,3,5396632,3,2055312,3
11754940,3,4160341,3,7691431,3,3352862,3,5984896,3,4608108,3
9987586,3,8857337,3,5405641,3,3079047,3,5903630,3,8853257,3
2111851,3,4898408,3,5663528,3,5938679,3,11201336,3,11281389,3
3560357,3,9621892,3,7934388,3,10673718,3,3340789,3,4883898,3
5273038,3,9757933,3,2038588,3,6748266,3,6390334,3,9479395,3
4695239,3,10836572,3,2927529,3,4962900,3,3851055,3,3898985,3
9500407,3,3557418,3,11190571,3,3869531,3,8148499,3,2183279,3
9263891,3,11781566,3,8376920,3,7669393,3,11289192,3,5369821,3
3851055,3,7583047,3,5951573,3,7324725,3,9959955,3,2852170,3
11747063,3,3931289,3,10979030,3,11305812,3,10905643,3,6644218,3
10890398,3,6697606,3,7004307,3,8382765,3,7727212,3,11977454,3
4441484,3,11677823,3,6649464,3,2114846,3,11045603,3,5822470,3
5884921,3,3368038,3,5141147,3,9955881,3,10919138,3,5917904,3
7689769,3,11896493,3,5197583,3,8258945,3,9125568,3,11994945,3
7489397,3,2715913,3,2431022,3,8828903,3,8784766,3,6429384,3
11194087,3,9162837,3,8781322,3,10590675,3,3348699,3,11045100,3
4581440,3,4734334,3,5593666,3,11786993,3,7146318,3,2540960,3
5819884,3,5731595,3,8543966,3,6391771,3,4361741,3,11813103,3
10403697,3,3348153,3,6099635,3,7289711,3,7546507,3,10131650,3
4520223,3,4977048,3,2783042,3,3340789,3,2395954,3,3001983,3
8864884,3,10859348,3,8164225,3,2595719,3,8432014,3,10671906,3
7348445,3,11263629,3,9229069,3,7029838,3,4481362,3,6506469,3
